127.0.0.1, 2020-10-29 09:21:28, GET, /kit/static/ui/css/redmond/jquery-ui.theme.min.css, HTTP/1.1, 200, 0.004620
127.0.0.1, 2020-10-29 09:21:28, GET, /kit/static/js/jquery.js, HTTP/1.1, 200, 0.006880
127.0.0.1, 2020-10-29 09:21:28, GET, /kit/static/js/web2py.js, HTTP/1.1, 200, 0.001658
127.0.0.1, 2020-10-29 09:21:28, GET, /kit/static/plugin_jstree/jstree_3/jquery.hotkeys.js, HTTP/1.1, 200, 0.022201
127.0.0.1, 2020-10-29 09:21:28, GET, /kit/static/js/calendar.js, HTTP/1.1, 200, 0.019500
127.0.0.1, 2020-10-29 09:21:28, GET, /kit/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.015679
127.0.0.1, 2020-10-29 09:21:28, GET, /kit/static/plugin_jstree/jstree_3/jquery.jstree.js, HTTP/1.1, 200, 0.019338
127.0.0.1, 2020-10-29 09:21:28, GET, /kit/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.011276
127.0.0.1, 2020-10-29 09:21:28, GET, /kit/static/ui/js/jquery-ui.min.js, HTTP/1.1, 200, 0.007059
127.0.0.1, 2020-10-29 09:21:28, GET, /kit/static/plugin_jschosen/chosen.jquery.min.js, HTTP/1.1, 200, 0.022515
127.0.0.1, 2020-10-29 09:21:28, GET, /kit/static/ui/multiselect/jquery.multiselect.min.js, HTTP/1.1, 200, 0.011687
127.0.0.1, 2020-10-29 09:21:28, GET, /kit/static/js/share.js, HTTP/1.1, 200, 0.011851
127.0.0.1, 2020-10-29 09:21:28, GET, /kit/static/images/background.jpg, HTTP/1.1, 200, 0.001610
127.0.0.1, 2020-10-29 09:21:28, GET, /kit/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001923
127.0.0.1, 2020-10-29 09:21:28, GET, /kit/static/images/facebook.png, HTTP/1.1, 200, 0.014932
127.0.0.1, 2020-10-29 09:21:28, GET, /kit/static/images/gplus-32.png, HTTP/1.1, 200, 0.015875
127.0.0.1, 2020-10-29 09:21:28, GET, /kit/static/images/twitter.png, HTTP/1.1, 200, 0.018072
127.0.0.1, 2020-10-29 09:21:28, GET, /kit/static/images/favicon.ico, HTTP/1.1, 200, 0.014289
127.0.0.1, 2020-10-29 09:21:34, GET, /kit/default/user/login, HTTP/1.1, 200, 2.596725
127.0.0.1, 2020-10-29 09:21:59, POST, /kit/default/user/login, HTTP/1.1, 303, 2.646794
127.0.0.1, 2020-10-29 09:22:02, GET, /kit/default/index, HTTP/1.1, 200, 3.159908
127.0.0.1, 2020-10-29 09:22:12, GET, /kit/pre/grid_pre, HTTP/1.1, 200, 5.745280
127.0.0.1, 2020-10-29 09:22:19, GET, /kit/pre/grid_pre/edit/mod_pre/41634, HTTP/1.1, 200, 4.458758
127.0.0.1, 2020-10-29 09:22:19, GET, /kit/static/ui/css/redmond/images/ui-bg_gloss-wave_55_5c9ccc_500x100.png, HTTP/1.1, 200, 0.019874
127.0.0.1, 2020-10-29 09:22:19, GET, /kit/static/ui/css/redmond/images/ui-bg_inset-hard_100_fcfdfd_1x100.png, HTTP/1.1, 200, 0.031951
127.0.0.1, 2020-10-29 09:22:19, GET, /kit/static/ui/css/redmond/images/ui-bg_inset-hard_100_f5f8f9_1x100.png, HTTP/1.1, 200, 0.007962
127.0.0.1, 2020-10-29 09:22:19, GET, /kit/static/ui/css/redmond/images/ui-bg_glass_85_dfeffc_1x400.png, HTTP/1.1, 200, 0.033867
127.0.0.1, 2020-10-29 09:22:19, GET, /kit/static/ui/css/redmond/images/ui-bg_glass_75_d0e5f5_1x400.png, HTTP/1.1, 200, 0.030862
127.0.0.1, 2020-10-29 09:22:21, GET, /kit/pre/grid_pre/jstree_tree_precfg_mod_cfg_name_auto/getnode, HTTP/1.1, 200, 2.130406
127.0.0.1, 2020-10-29 09:24:01, GET, /kit/pre/grid_inver.load, HTTP/1.1, 200, 98.364399
127.0.0.1, 2020-10-29 09:29:06, GET, /kit/pre/grid_pre_pie.load, HTTP/1.1, 200, 186.718186
127.0.0.1, 2020-10-29 09:34:57, GET, /gestion/default/reservas_ptecobro, HTTP/1.1, 404, 0.001685
127.0.0.1, 2020-10-29 09:34:57, GET, /apple-touch-icon-precomposed.png, HTTP/1.1, 400, 0.000542
127.0.0.1, 2020-10-29 09:34:57, GET, /apple-touch-icon.png, HTTP/1.1, 400, 0.000509
127.0.0.1, 2020-10-29 09:34:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000694
127.0.0.1, 2020-10-29 09:34:57, GET, /apple-touch-icon-precomposed.png, HTTP/1.1, 400, 0.001839
127.0.0.1, 2020-10-29 09:34:57, GET, /apple-touch-icon.png, HTTP/1.1, 400, 0.000985
127.0.0.1, 2020-10-29 09:34:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000466
127.0.0.1, 2020-10-29 09:34:57, GET, /gestion/default/reservas_ptecobro, HTTP/1.1, 404, 0.000879
127.0.0.1, 2020-10-29 09:34:57, GET, /apple-touch-icon-precomposed.png, HTTP/1.1, 400, 0.001468
127.0.0.1, 2020-10-29 09:34:57, GET, /apple-touch-icon.png, HTTP/1.1, 400, 0.000622
127.0.0.1, 2020-10-29 09:34:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000693
127.0.0.1, 2020-10-29 09:34:58, GET, /apple-touch-icon-precomposed.png, HTTP/1.1, 400, 0.000992
127.0.0.1, 2020-10-29 09:34:58, GET, /apple-touch-icon.png, HTTP/1.1, 400, 0.000461
127.0.0.1, 2020-10-29 09:34:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000422
127.0.0.1, 2020-10-29 10:40:03, GET, /kit/pre/grid_pre_naves.load, HTTP/1.1, 200, 4.722918
